"1962-1966: British pop";"1962-1966: British pop";"1962-1966: British pop";"1962-1966: British pop"
"Songs";"Weeks on Hot 100's 1st position";"Vocal accompaniment (choruses) in close harmony";"Emphasis on all the beats of 4/4 bar"
1962;1962;1962;1962
"Bobby Boris Pickett And The Crypt-Kickers - Monster Mash";2;"yes";"no"
"Bobby Vinton - Roses Are Red (My Love)";4;"yes";"no"
"Bruce Channel - Hey! Baby";3;"no";"no"
"Chubby Checker - The Twist";2;"yes";"no"
"Connie Francis - Don't Break The Heart That Loves You";1;"no";"no"
"David Rose & His Orchestra - The Stripper";1;"no";"no"
"Elvis Presley With The Jordanaires - Good Luck Charm";2;"yes";"no"
"Gene Chandler - Duke Of Earl";3;"yes";"no"
"Joey Dee & The Starliters - Peppermint Twist Part I";3;"no";"no"
"Little Eva - The Loco-Motion";1;"yes";"yes"
"Mr. Acker Bilk - Stranger On The Shore";1;"no";"no"
"Neil Sedaka - Breaking Up Is Hard To Do";2;"yes";"no"
"Ray Charles - I Can't Stop Loving You";5;"no";"no"
"Shelley Fabares - Johnny Angel";2;"yes";"no"
"The 4 Seasons - Big Girls Don't Cry";5;"yes";"yes"
"The 4 Seasons - Sherry";5;"yes";"yes"
"The Crystals - He's A Rebel";2;"no";"no"
"The Shirelles - Soldier Boy";3;"yes";"no"
"The Tokens - The Lion Sleeps Tonight";1;"yes";"yes"
"The Tornados - Telstar";2;"no";"yes"
"Tommy Roe - Sheila";2;"yes";"yes"
1963;1963;1963;1963
"Bobby Vinton - Blue Velvet";3;"yes";"no"
"Dale & Grace - I'm Leaving It Up To You";2;"no";"no"
"Jan & Dean - Surf City";2;"yes";"yes"
"Jimmy Gilmer And The Fireballs - Sugar Shack";5;"no";"no"
"Jimmy Soul - If You Wanna Be Happy";2;"no";"no"
"Kyu Sakamoto - Sukiyaki";3;"no";"no"
"Lesley Gore - It's My Party";2;"yes";"no"
"Little Peggy March - I Will Follow Him";3;"yes";"no"
"Little Stevie Wonder - Fingertips - Pt 2";3;"no";"no"
"Nino Tempo & April Stevens - Deep Purple";1;"yes";"no"
"Paul and Paula - Hey Paula";3;"no";"no"
"Ruby & The Romantics - Our Day Will Come";1;"yes";"no"
"Steve Lawrence - Go Away Little Girl";2;"no";"no"
"The 4 Seasons - Walk Like A Man";3;"yes";"yes"
"The Angels - My Boyfriend's Back";3;"yes";"yes"
"The Chiffons - He's So Fine";4;"yes";"no"
"The Essex - Easier Said Than Done";2;"yes";"no"
"The Rooftop Singers - Walk Right In";2;"no";"no"
"The Singing Nun (Soeur Sourire) - Dominique";4;"no";"yes"
"The Tornados - Telstar";1;"no";"yes"
"The Tymes - So Much In Love";1;"yes";"no"
1964;1964;1964;1964
"Bobby Vinton - Mr. Lonely";1;"yes";"no"
"Bobby Vinton - There! I've Said It Again";4;"yes";"no"
"Dean Martin - Everybody Loves Somebody";1;"no";"no"
"Lorne Greene - Ringo";1;"yes";"no"
"Louis Armstrong And The All Stars - Hello, Dolly!";1;"no";"no"
"Manfred Mann - Do Wah Diddy Diddy";2;"no";"yes"
"Mary Wells - My Guy";2;"yes";"no"
"Peter And Gordon - A World Without Love";1;"no";"no"
"Roy Orbison And The Candy Men - Oh, Pretty Woman";3;"no";"yes"
"The 4 Seasons Featuring The Sound Of Frankie Valli - Rag Doll";2;"yes";"yes"
"The Animals - The House of the Rising Sun";3;"no";"no"
"The Beach Boys - I Get Around";2;"yes";"yes"
"The Beatles - A Hard Day's Night";2;"yes";"yes"
"The Beatles - Can't Buy Me Love";5;"no";"yes"
"The Beatles - I Feel Fine";1;"yes";"yes"
"The Beatles - I Want To Hold Your Hand";7;"no";"yes"
"The Beatles - Love Me Do";1;"no";"no"
"The Beatles - She Loves You";2;"no";"yes"
"The Dixie Cups - Chapel Of Love";3;"no";"no"
"The Shangri-Las - Leader Of The Pack";1;"yes";"no"
"The Supremes - Baby Love";4;"yes";"no"
"The Supremes - Come See About Me";1;"yes";"yes"
"The Supremes - Where Did Our Love Go";2;"yes";"yes"
1965;1965;1965;1965
"Barry McGuire - Eve Of Destruction";1;"no";"no"
