"1989-1993: Hip hop";"1989-1993: Hip hop";"1989-1993: Hip hop";"1989-1993: Hip hop"
"Songs";"Weeks on Hot 100's 1st position";"Drum machine";"High load of low frequencies"
1989;1989;1989;1989
"Bad English - When I See You Smile";2;"no";"no"
"Bangles - Eternal Flame";1;"no";"no"
"Bette Midler - Wind Beneath My Wings (From 'Beaches')";1;"no";"no"
"Billy Joel - We Didn't Start The Fire";2;"no";"yes"
"Bobby Brown - My Prerogative";1;"yes";"yes"
"Bon Jovi - I'll Be There For You";1;"no";"no"
"Debbie Gibson - Lost In Your Eyes";3;"no";"no"
"Fine Young Cannibals - Good Thing";1;"no";"yes"
"Fine Young Cannibals - She Drives Me Crazy";1;"yes";"yes"
"Gloria Estefan - Don't Wanna Lose You Now";1;"no";"no"
"Janet Jackson - Miss You Much";4;"yes";"yes"
"Madonna - Like A Prayer";3;"no";"no"
"Martika - Toy Soldiers";2;"no";"no"
"Michael Damian - Rock On ('From A Little Dream')";1;"no";"no"
"Mike - The Living Years";1;"no";"no"
"Milli Vanilli - Baby Don't Forget My Number";1;"yes";"yes"
"Milli Vanilli - Blame It on the Rain";2;"yes";"yes"
"Milli Vanilli - Girl I'm Gonna Miss You";2;"yes";"yes"
"New Kids On The Block - Hangin Tough";1;"no";"yes"
"New Kids On The Block - I'll Be Loving You (Forever)";1;"no";"no"
"Paula Abdul - Cold Hearted";1;"yes";"yes"
"Paula Abdul - Forever Your Girl";2;"yes";"yes"
"Paula Abdul - Straight Up";3;"yes";"yes"
"Phil Collins - Another Day In Paradise";2;"no";"no"
"Phil Collins - Two Hearts";2;"no";"no"
"Poison - Every Rose Has Its Thorn";1;"no";"no"
"Prince - Batdance (From 'Batman')";1;"no";"yes"
"Richard Marx - Right Here Waiting";3;"no";"no"
"Richard Marx - Satisfied";1;"no";"no"
"Roxette - Listen To Your Heart";1;"no";"no"
"Roxette - The Look";1;"no";"no"
"Sheriff - When I'm With You";1;"no";"no"
"Simply Red - If You Don't Know Me By Now";1;"no";"no"
1990;1990;1990;1990
"Alannah Myles - Black Velvet";2;"no";"yes"
"George Michael - Praying For Time";1;"no";"no"
"Glenn Medeiros - She Ain't Worth It";2;"yes";"yes"
"James Ingram - I Don't Have The Heart";1;"no";"no"
"Janet Jackson - Black Cat";1;"no";"no"
"Janet Jackson - Escapade";3;"yes";"yes"
"Jon Bon Jovi - Blaze Of Glory";1;"no";"no"
"Madonna - Vogue";3;"yes";"no"
"Mariah Carey - Love Takes Time";3;"no";"no"
"Mariah Carey - Vision Of Love";4;"no";"no"
"Maxi Priest - Close To You";1;"no";"yes"
"Michael Bolton - How Am I Supposed To Live Without You";3;"no";"no"
"Nelson - (Can't Live Without Your) Love And Affection";1;"no";"no"
"New Kids On The Block - Step By Step";3;"yes";"no"
"Paula Abdul - Opposites Attract";3;"yes";"yes"
"Phil Collins - Another Day In Paradise";2;"no";"no"
"Roxette - It Must Have Been Love";2;"no";"no"
"Sinead O Connor - Nothing Compares 2 U";4;"no";"no"
"Stevie B - Because I Love You";4;"no";"no"
"Sweet Sensation - If Wishes Came True";1;"no";"no"
"Taylor Dayne - Love Will Lead You Back";1;"no";"no"
"Tommy Page - I'll Be Your Everything";1;"no";"no"
"Vanilla Ice - Ice Ice Baby";1;"yes";"yes"
"Whitney Houston - I'm Your Baby Tonight";1;"yes";"no"
"Wilson Phillips - Hold On";1;"no";"no"
"Wilson Phillips - Release Me";2;"no";"no"
1991;1991;1991;1991
"Amy Grant - Baby Baby";2;"yes";"no"
"Bryan Adams - (Everything I Do) I Do It For You (From 'Robin Hood')";7;"no";"no"
"C+C Music Factory - Gonna Make You Sweat";2;"yes";"yes"
"Color Me Badd - I Adore Mi Amor";2;"yes";"no"
"EMF - Unbelievable";1;"no";"yes"
"Extreme - More Than Words";1;"no";"no"
"Gloria Estefan - Coming Out Of The Dark";2;"no";"no"
"Hi-Five - I Like The Way (The Kissing Game)";1;"yes";"no"
"Janet Jackson - Love Will Never Do (Without You)";1;"yes";"yes"
"Karyn White - Romantic";1;"yes";"no"
"Londonbeat - I've Been Thinking About You";1;"yes";"no"
"Madonna - Justify My Love";2;"yes";"yes"
"Mariah Carey - Emotions";3;"no";"no"
"Mariah Carey - I Don't Wanna Cry";2;"no";"no"
"Mariah Carey - Someday";2;"yes";"no"
"Marky Mark - Good Vibrations";1;"yes";"yes"
"Michael Bolton - When A Man Loves A Woman";1;"no";"no"
"Michael Jackson - Black Or White";4;"yes";"no"
"P.M. Dawn - Set Adrift On Memory Bliss";1;"yes";"no"
"Paula Abdul - Rush Rush";5;"yes";"no"
"Paula Abdul - The Promise Of A New Day";1;"yes";"no"
"Prince And The N.P.G. - Cream";2;"no";"no"
"Roxette - Joyride";1;"no";"no"
"Surface - The First Time";2;"no";"no"
"Timmy T. - One More Try";1;"yes";"no"
"Whitney Houston - All The Man That I Need";2;"no";"no"
"Wilson Phillips - You're In Love";1;"no";"no"
1992;1992;1992;1992
"Boyz II Men - End Of The Road";13;"no";"no"
"Color Me Badd - All 4 Love";1;"no";"no"
"George Michael & Elton John - Don't Let The Sun Go Down On Me";1;"no";"no"
"Kris Kross - Jump";8;"yes";"yes"
"Madonna - This Used To Be My Playground";1;"yes";"no"
"Mariah Carey - I'll Be There";2;"no";"no"
"Michael Jackson - Black Or White";3;"yes";"no"
"Mr. Big - To Be With You";3;"no";"no"
"Right Said Fred - I'm Too Sexy";3;"yes";"yes"
"Sir Mix-A-Lot - Baby Got Back";5;"yes";"yes"
"The Heights - How Do You Talk To An Angel";2;"no";"no"
"Vanessa William - Save The Best For Last";5;"no";"no"
"Whitney Houston - I Will Always Love You (From 'The Bodyguard')";5;"no";"no"
1993;1993;1993;1993
"Janet Jackson - Again";2;"no";"no"
"Janet Jackson - That's The Way Love Goes";8;"yes";"yes"
"Mariah Carey - Dreamlover";8;"yes";"yes"
"Mariah Carey - Hero";1;"no";"no"
"Meat Loaf - I'd Do Anything For Love (But I Won't Do That)";5;"no";"no"
